,time,open,high,low,close,vol_,volume,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
4886,1664673300,19279.2,19293.3,19277.5,19277.9,1.84278905,35527.367457693,0,0,0,0,0,0,0,0,0,0,0,0
4887,1664673600,19279.5,19299.8,19274.0,19299.8,0.26490632,5108.707992614,0,0,0,0,0,0,0,0,0,0,0,100
4888,1664673900,19289.2,19304.2,19289.2,19302.6,0.72586219,14009.399448616,0,0,0,0,0,0,0,0,0,100,0,100
4889,1664674200,19305.0,19309.7,19291.3,19298.9,0.21425419,4134.584231516,0,0,0,0,0,0,0,0,0,0,0,0
4890,1664674500,19294.0,19295.2,19287.1,19288.8,0.04339534,837.258775887,0,0,0,0,0,0,0,0,0,0,0,0
4891,1664674800,19288.8,19302.6,19288.8,19301.0,0.34271737,6611.243435867,0,0,0,0,0,0,0,0,0,100,0,100
4892,1664675100,19301.0,19305.9,19299.0,19303.3,0.33078621,6384.707185717,0,0,0,0,0,0,0,0,0,0,0,0
4893,1664675400,19303.4,19303.4,19301.0,19301.2,0.2957601,5708.964004175,0,0,0,0,0,0,0,0,0,0,0,0
4894,1664675700,19300.1,19305.4,19296.8,19300.7,0.69601996,13434.087718879,0,0,0,0,0,0,0,0,0,0,0,0
4895,1664676000,19300.3,19305.4,19300.3,19305.4,0.13053903,2519.593115571,0,0,0,0,0,0,0,0,0,0,0,0
4896,1664676300,19305.4,19329.8,19305.4,19326.0,0.10839829,2093.776773626,0,0,0,0,0,0,0,0,0,100,0,0
4897,1664676600,19330.0,19330.0,19321.1,19326.1,0.14772195,2855.028108686,0,0,0,0,0,0,0,0,0,0,0,0
4898,1664676900,19323.8,19325.7,19308.7,19308.7,0.20189245,3901.111281969,0,0,0,0,0,0,0,0,0,0,0,-100
4899,1664677200,19308.8,19324.5,19308.8,19314.4,0.33548633,6479.835781615,0,0,0,0,0,0,0,0,0,0,0,0
4900,1664677500,19317.5,19322.8,19316.1,19319.2,0.28761444,5556.624290199,0,0,0,0,0,0,0,0,0,0,0,0
4901,1664677800,19314.8,19323.0,19314.8,19323.0,0.84087969,16245.891653984,0,0,0,0,0,0,0,0,0,100,0,100
4902,1664678100,19320.5,19330.0,19320.5,19330.0,0.74078549,14314.618441108,0,0,0,0,0,0,0,0,0,100,0,100
4903,1664678400,19329.9,19330.0,19329.9,19330.0,0.1157796,2238.018507574,0,0,0,0,0,0,0,0,0,0,0,0
4904,1664678700,19330.0,19344.2,19329.9,19340.6,2.20243247,42588.361423486,0,0,0,0,0,0,0,0,0,100,0,0
4905,1664679000,19341.0,19342.5,19333.1,19333.1,0.12390015,2395.912309128,0,0,0,0,0,0,0,0,0,0,0,0
4906,1664679300,19333.1,19333.1,19317.8,19328.9,0.20885637,4036.764961159,0,0,0,0,0,0,0,0,0,0,0,0
4907,1664679600,19329.0,19329.7,19317.9,19317.9,0.33355469,6446.478252221,0,0,0,0,0,0,0,0,0,-100,0,-100
4908,1664679900,19320.0,19320.0,19306.3,19306.3,23.33526644,450561.912756683,0,0,0,0,0,0,0,0,0,-100,0,-100
4909,1664680200,19307.9,19321.2,19307.9,19318.6,1.17202439,22632.244402896,0,0,0,0,0,0,0,0,0,100,0,0
4910,1664680500,19319.4,19330.4,19318.6,19321.9,0.18599138,3594.788532147,0,0,0,0,0,0,0,0,0,0,0,0
4911,1664680800,19317.8,19317.8,19314.9,19314.9,0.0711565,1374.417127422,0,0,0,0,0,0,0,0,0,0,0,0
4912,1664681100,19314.9,19314.9,19292.4,19295.0,1.25886911,24292.222424778,0,0,0,0,0,0,0,0,0,-100,0,0
4913,1664681400,19295.0,19295.0,19294.9,19294.9,0.24169918,4663.584632452,0,0,0,0,0,0,0,0,0,0,0,0
4914,1664681700,19295.0,19295.0,19294.9,19295.0,0.87775453,16936.259578725,0,0,0,0,0,0,0,0,0,0,0,0
4915,1664682000,19294.9,19295.0,19294.9,19295.0,0.26588381,5130.223074651,0,0,0,0,0,0,0,0,0,0,0,0
4916,1664682300,19295.0,19295.0,19295.0,19295.0,1.38838805,26788.94742475,0,0,0,0,0,0,0,0,0,0,0,0
4917,1664682600,19295.0,19295.0,19295.0,19295.0,0.02838302,547.6503709,0,0,0,0,0,0,0,0,0,0,0,0
4918,1664682900,19295.0,19307.0,19294.9,19307.0,2.68021141,51719.349893636,0,0,0,0,0,0,0,0,0,100,0,100
4919,1664683200,19307.0,19307.0,19306.9,19306.9,0.07984733,1541.612326351,0,0,0,0,0,0,0,0,0,0,0,0
4920,1664683500,19307.0,19310.8,19306.9,19309.1,0.24832575,4794.781317197,0,0,0,0,0,0,0,0,0,0,0,0
4921,1664683800,19308.4,19308.4,19301.5,19301.5,0.55300424,10676.471919461,0,0,0,0,0,0,0,0,0,-100,0,-100
4922,1664684100,19304.4,19307.8,19300.6,19301.2,0.08610432,1662.211379334,0,0,0,0,0,0,0,0,0,0,0,0
4923,1664684400,19301.2,19304.0,19296.7,19303.0,0.12629687,2437.70010812,0,0,0,0,0,0,0,0,0,0,0,0
4924,1664684700,19300.1,19304.3,19300.1,19303.7,0.1696583,3274.741282909,0,0,0,0,0,0,0,0,0,100,0,0
4925,1664685000,19304.7,19311.0,19304.7,19310.2,0.44425173,8577.979253206,0,0,0,0,0,0,0,0,0,100,0,0
4926,1664685300,19310.2,19317.0,19310.1,19317.0,1.89902933,36680.859582137,0,0,0,0,0,0,0,0,0,100,0,100
4927,1664685600,19317.0,19317.0,19316.1,19316.2,0.17268906,3335.701984505,0,0,0,0,0,0,0,0,0,0,0,0
4928,1664685900,19316.2,19317.0,19316.1,19316.1,0.16863554,3257.438516033,0,0,0,0,0,0,0,0,0,0,0,0
4929,1664686200,19316.2,19317.1,19316.2,19316.9,0.09078246,1753.636254579,0,0,0,0,0,0,0,0,0,0,0,0
4930,1664686500,19317.0,19330.6,19316.9,19329.6,0.85788984,16574.871857782,0,0,0,0,0,0,0,0,0,100,0,0
4931,1664686800,19329.9,19329.9,19329.7,19329.9,0.1103909,2133.845007485,0,0,0,0,0,0,0,0,0,0,0,0
