,time,open,high,low,close,vol_,volume,btc_RSI,btc_MACD,btc_macsignal,btc_macdhist,btc_ADX,btc_Aroon,btc_Trendmode,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
31,1663279500,19823.7,19823.8,19823.7,19823.8,0.28213938,5593.07418918,54.25428293086721,,,,24.213540929000178,-35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1663280700,19814.8,19816.4,19805.8,19805.9,1.98342827,39298.532454261,50.61830543015267,,,,23.4798240269281,-35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1663281000,19802.4,19802.4,19790.0,19791.5,4.64765404,91991.931221631,47.8406499684607,5.239713578761439,12.507449124306731,-7.2677355455452926,23.33804596872034,-35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1663281300,19791.5,19791.5,19787.8,19789.7,5.96050176,117966.159272519,47.48984461031169,2.942450841423124,10.59444946773001,-7.651998626306886,23.279238548969634,-35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1663281600,19789.5,19789.5,19709.9,19710.0,8.49820549,167879.797707375,35.186656846732006,-3.653055807961209,7.744948412591766,-11.398004220552975,25.058070956499204,-78.57142857142857,0,0,0,0,0,0,0,0,0,0,-100,0,-100
36,1663281900,19710.0,19712.0,19689.3,19695.9,43.59836361,858803.635687917,33.531586418774836,-9.745222321093024,4.246914265854807,-13.992136586947831,27.02891194699689,-85.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1663282200,19695.9,19704.1,19666.0,19667.1,2.73731674,53875.709252385,30.387519491390698,-16.24441547537208,0.14864831760942998,-16.393063792981508,29.18037463072914,-92.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,-100
38,1663282500,19666.1,19674.1,19648.9,19652.0,19.5544465,384343.193499153,28.85961115815428,-22.19419353275225,-4.319920052462906,-17.874273480289347,31.391982188741284,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1663282800,19645.8,19733.0,19582.8,19732.6,23.81653581,467612.203972147,44.81096723529605,-21.97320858094463,-7.85057775815925,-14.122630822785379,34.08701363512045,-100.0,0,0,0,0,-100,0,0,0,0,0,0,0,100
40,1663283100,19727.4,19750.0,19717.1,19737.2,2.71114008,53520.725662712,45.56120232554467,-21.30626304103862,-10.541714814735125,-10.764548226303495,35.88002100940834,-92.85714285714286,0,0,0,0,0,100,0,0,0,0,0,0,0
41,1663283400,19738.3,19738.3,19650.0,19650.0,5.70814603,112370.526641718,35.663901355943686,-25.72803500984446,-13.578978853756992,-12.14905615608747,38.12733661502461,-85.71428571428572,0,0,0,0,0,0,0,0,0,0,-100,0,-100
42,1663283700,19650.0,19695.5,19645.4,19678.1,4.62997905,91031.625235884,40.17400043428377,-27.357081305704924,-16.33459934414658,-11.022481961558345,40.24803559233148,-78.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1663284000,19677.6,19689.6,19647.4,19680.3,0.25394322,4997.92573617,40.525530907819366,-28.263776912943285,-18.72043485790592,-9.543342055037364,42.217256071259285,-64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1663284300,19681.0,19727.0,19681.0,19718.9,0.79065878,15583.366909208,46.468848133345176,-26.424816331957118,-20.26131115271616,-6.163505179240957,42.600948202582614,-64.28571428571429,0,0,0,0,0,0,0,0,0,0,100,0,0
45,1663284600,19719.0,19719.0,19692.4,19702.3,1.20944698,23832.023186455,44.413348870111406,-25.671825087145407,-21.34341393960201,-4.328411147543399,42.95723375309713,-57.142857142857146,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1663284900,19698.6,19702.7,19644.7,19648.1,4.63284191,91199.338220408,38.435274815739454,-28.0258758157579,-22.679906314833186,-5.3459695009247135,43.854541512428916,-50.0,0,0,0,0,0,0,0,0,0,0,-100,0,-100
47,1663285200,19646.5,19716.1,19646.5,19716.1,0.95516401,18799.301674244,47.90870452540827,-25.608500466463738,-23.265625145159298,-2.34287532130444,44.20149242480145,-42.85714285714286,0,0,0,0,0,0,0,0,0,0,100,0,100
48,1663285500,19716.1,19718.8,19680.1,19712.4,1.81194901,35702.007711212,47.48058127525131,-23.634967156867788,-23.339493547500997,-0.2954736093667911,44.423714034658005,-35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1663285800,19703.9,19719.2,19703.9,19719.1,0.87468195,17241.192107473,48.380138881388625,-21.420798776012816,-22.95575459320336,1.5349558171905429,44.61429041307666,-28.571428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1663286100,19719.2,19719.2,19654.0,19662.7,17.77361846,349464.572028686,41.877640428001314,-22.774655766424985,-22.919534827847684,0.14487906142269935,45.424720479511805,7.142857142857143,0,0,0,0,0,0,0,0,0,0,-100,0,0
51,1663286400,19662.7,19702.5,19662.7,19700.6,0.70477012,13872.67230528,47.029802631985326,-21.390223417827656,-22.613672545843677,1.2234491280160213,46.17726268405873,7.142857142857143,0,0,0,0,0,0,0,0,0,0,100,0,100
52,1663286700,19700.0,19725.3,19690.1,19690.2,8.84299955,174330.176021909,45.829285964505445,-20.684294017915818,-22.227796840258105,1.5435028223422869,45.9672686195972,7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1663287000,19691.6,19714.3,19643.3,19714.3,3.2048701,63028.901641208,49.073484236089406,-18.485369990648906,-21.479311470336263,2.993941479687358,46.391716434292256,7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1663287300,19716.2,19716.2,19675.0,19675.0,0.36183496,7128.378474647,44.4034532121873,-18.867118660218694,-20.95687290831275,2.0897542480940565,46.7138479037524,-92.85714285714286,0,0,0,0,0,0,0,0,0,0,-100,0,-100
55,1663287600,19675.0,19679.1,19550.0,19619.1,218.00925671,4269693.78242706,38.754148373451905,-22.29971086508158,-21.225440499666515,-1.0742703654150638,48.13445998776706,-100.0,0,0,0,0,0,-100,0,0,0,0,-100,0,0
56,1663287900,19616.5,19714.6,19598.5,19706.3,1.21900431,23940.473572325,49.539190333570986,-19.666608699943026,-20.913674139721817,1.2470654397787904,48.39340170788969,-78.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0
